1 青岸渡寺 33.669229528202806 135.88993389248878
2 紀三井寺 34.1851351526603 135.19001205789522
3 粉河寺 34.28090550123661 135.40590082138843
4 施福寺 34.39296336664865 135.51157003653697
5 葛井寺 34.56987915862316 135.59650315921849
6 壷阪寺 34.426445307889814 135.8098607315991
7 岡寺 34.47177209968495 135.82826893021382
8 長谷寺 34.535969887992245 135.9068288275795
9 南円堂 34.682515075888624 135.83027857845508
10 三室戸寺 34.90047419010163 135.81914544119593
11 醍醐寺 34.951136882807816 135.81981753616267
12 岩間寺 34.93285323593845 135.878773910755
13 石山寺 34.960460221465354 135.9056196359451
14 三井寺 35.013336020106216 135.85291774673772
15 今熊野観音寺 34.979828903349635 135.78112393078123
16 清水寺 34.99491895989544 135.78490075325533
17 六波羅蜜寺 34.997060450438006 135.77332451775013
18 六角堂 35.00767104278407 135.76029538459878
19 行願寺 35.01640362719723 135.76775419416242
20 善峯寺 34.93808251738087 135.64445732692946
21 穴太寺 35.00657500993379 135.54916780237343
22 総持寺 34.829011364731535 135.58167295058203
23 勝尾寺 34.86512595063744 135.49164385518029
24 中山寺 34.82132266249008 135.36779565709438
25 播州清水寺 34.97241681760384 135.08106371484317
26 一乗寺 34.85926058466101 134.81896916835444
27 圓教寺 34.88895234507583 134.66047206252156
28 成相寺 35.59526350067312 135.18741032436375
29 松尾寺 35.496604866849275 135.46915229365715
30 宝厳寺 35.42140212593934 136.1432602286822
31 長命寺 35.162674407444285 136.06394976156724
32 観音正寺 35.14508947814696 136.1606408619048
33 谷汲山華厳寺 35.536924649016996 136.60802240753867
